ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"187.44.146.2","elite","AS28186","BR","ITS TELECOMUNICACOES LTDA","186","ITS TELECOMUNICACOES LTDA","32139","socks4","4004","1","2023-07-12T06:21:43.246Z","67","1923","2849"
"31.134.99.130","elite","AS56656","SK","DetronicsRoute","36","Detronics s.r.o.","1080","socks5","3691","1","2023-07-12T06:21:43.240Z","99","2836","2856"
"103.199.97.9","elite","AS45804","IN","New Shivam Cable Network","170","N/A","39825","socks4","5318","1","2023-07-12T06:21:43.239Z","97","2778","2854"
"138.36.150.28","elite","AS263729","AR","Pedraza Luis Eduardo","259","Pedraza Luis Eduardo","1080","socks4","1762","1","2023-07-12T06:21:43.242Z","99","2788","2826"
"181.129.186.130","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","159","EPM Telecomunicaciones S.A. E.S.P","5678","socks5","5094","1","2023-07-12T06:21:43.247Z","99","2751","2786"
"89.22.17.62","elite","AS48166","RU","Fortex Cjsc","46","Fortex AS48166","43110","socks4","4904","83","2023-07-12T06:21:43.241Z","100","2845","2850"
"45.7.210.193","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","288","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","4795","1","2023-07-12T06:21:38.050Z","99","2803","2827"
"119.148.103.230","elite","AS18109","BD","Nasrin Sultana","175","N/A","4153","socks4","5096","1","2023-07-12T06:21:38.042Z","99","2804","2836"
"194.146.110.211","elite","AS29496","UA","Link-Service Ltd.","42","Link-Service Ltd.","8888","socks4","1589","82","2023-07-12T06:21:38.045Z","99","2733","2774"
"103.221.254.7","elite","AS135524","BD","Dhaka University","190","university of dhaka","8291","socks4","1100","1","2023-07-12T06:21:38.043Z","41","1168","2862"
"47.113.179.6","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","289","Aliyun Computing Co., LTD","10705","socks4","5089","1","2023-07-12T06:21:38.047Z","60","1712","2858"
"115.79.34.201","elite","AS7552","VN","VIETELftth","279","N/A","5678","socks4","4112","1","2023-07-12T06:21:33.042Z","89","2552","2857"
"185.132.230.205","elite","AS210238","IT","Dieffeitalia.it S.r.l.","36","Dieffeitalia.it S.r.l","5678","socks4","3208","1","2023-07-12T06:21:33.148Z","95","2702","2854"
"27.145.61.163","elite","AS7470","TH","True Internet Corporation CO. Ltd.","186","Truenet BB","8080","socks4","5000","1","2023-07-12T06:21:33.041Z","53","1485","2804"
"114.69.244.66","elite","AS18002","IN","World Phone Internet Service Pvt. Ltd.","184","N/A","60616","socks4","4894","1","2023-07-12T06:21:33.039Z","99","2835","2862"
"85.214.94.105","elite","AS6724","DE","Strato AG","21","Strato AG","12126","socks4","4795","1","2023-07-12T06:21:33.044Z","100","2770","2771"
"172.87.152.122","elite","AS11427","US","Spectrum","187","Laredo Executive INN","39593","socks4","3604","1","2023-07-12T06:21:33.136Z","99","2817","2842"
"61.74.18.133","elite","AS4766","KR","Korea Telecom","295","Kornet","1080","socks4","4905","1","2023-07-12T06:21:33.045Z","72","2057","2846"
"5.8.64.55","elite","AS44812","RU","IP SERVER LLC","53","Worldbyte","8080","socks5","5097","48","2023-07-12T06:21:33.133Z","96","2636","2750"
"91.235.124.17","elite","AS198493","PL","Enternet Pawel Miazga","30","Enternet Pawel Miazga","10801","socks4","4806","1","2023-07-12T06:21:33.046Z","100","2729","2729"
"66.33.213.3","elite","AS26347","US","New Dream Network, LLC","81","New Dream Network, LLC","15891","socks5","4694","1","2023-07-12T06:21:26.148Z","100","2839","2845"
"104.20.75.31","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5302","1","2023-07-12T06:21:26.149Z","100","2858","2858"
"47.242.190.33","elite","AS45102","HK","Alibaba.com LLC","295","Hong Kong","1080","socks4","4793","3","2023-07-12T06:21:26.144Z","99","2754","2772"
"8.210.54.50","elite","AS45102","HK","Alibaba.com LLC","292","Hong Kong","10081","socks5","4700","1","2023-07-12T06:21:21.048Z","99","2771","2788"
"178.253.197.186","elite","AS9125","RS","Orion Telekom ISP IP Network","81","Orion Telekom Tim d.o.o.Beograd","4153","socks4","5004","1","2023-07-12T06:21:21.146Z","100","2862","2863"
"213.6.67.86","elite","AS12975","PS","Palestine Telecommunications Company","60","Palestine Telecommunications Company","54260","socks4","4701","1","2023-07-12T06:21:21.145Z","100","2769","2781"
"103.47.93.201","elite","AS134058","IN","Broban Internet Services Pvt.ltd","194","Broban  PVT Ltd.","1080","socks4","3603","1","2023-07-12T06:21:21.050Z","99","2833","2854"
"51.222.29.254","elite","AS16276","CA","OVH SAS","88","OVH Hosting, Inc.","47103","socks4","2003","1","2023-07-12T06:21:21.143Z","100","2773","2774"
"70.185.95.162","elite","AS22773","US","Cox Communications Inc.","124","Cox Communications Inc.","39593","socks4","3693","1","2023-07-12T06:21:21.045Z","99","2827","2860"
"103.66.233.137","elite","AS134014","IN","NET 4 U SERVICES","190","N/A","4145","socks4","5012","1","2023-07-12T06:21:21.049Z","100","2830","2842"
"45.7.177.211","elite","AS266626","BR","Litoral Telecom","293","Litoral Telecom","39867","socks4","4605","1","2023-07-12T06:21:16.045Z","99","2724","2750"
"128.199.214.87","elite","AS14061","SG","DigitalOcean, LLC","172","DigitalOcean, LLC","3128","socks5","4902","1","2023-07-12T06:21:16.043Z","21","581","2761"
"103.84.178.193","elite","AS136279","IN","Glo Internet Services Pvt Ltd","196","Glo  Pvt Ltd","4153","socks4","4811","82","2023-07-12T06:21:16.145Z","100","2786","2798"
"203.76.103.57","elite","AS23688","BD","Link3 Technologies Limited","188","Corporate Subscriber","4145","socks4","5289","1","2023-07-12T06:21:16.050Z","96","2746","2848"
"138.201.92.34","elite","AS24940","DE","Hetzner Online GmbH","86","Hetzner","1080","socks5","4503","1","2023-07-12T06:21:16.135Z","98","2684","2740"
"89.237.32.33","elite","AS20485","RU","multi-origin SUTTK","72","N/A","51549","socks4","5106","2","2023-07-12T06:21:16.132Z","99","2795","2812"
"178.245.146.161","elite","AS16135","TR","Turkcell Internet","94","N/A","3128","socks5","4802","1","2023-07-12T06:21:16.134Z","18","490","2763"
"51.77.116.174","elite","AS16276","GB","OVH SAS","9","OVH Ltd","28046","socks5","4902","78","2023-07-12T06:21:16.146Z","100","2796","2797"
"134.119.190.185","elite","AS29066","FR","Host Europe GmbH","11","Bogdan Gribov","14446","socks4","5007","1","2023-07-12T06:21:16.049Z","100","2788","2790"
"38.113.171.1","elite","AS174","CA","Cogent Communications","100","eTor Networks","31596","socks4","4789","1","2023-07-12T06:21:10.943Z","100","2852","2854"
"178.249.218.34","elite","AS44219","IT","ICCOM s.r.l.","455","N/A","5678","socks4","4901","1","2023-07-12T06:21:10.844Z","96","2676","2791"
"202.43.112.34","elite","AS45325","ID","PC24NET","192","N/A","4145","socks4","4713","1","2023-07-12T06:21:10.842Z","97","2751","2844"
"66.97.44.122","elite","AS27823","AR","Dattatec.com","226","Dattatec Corp","8080","socks4","4696","1","2023-07-12T06:21:10.848Z","96","2720","2832"
"36.89.11.81","elite","AS7713","ID","PT. Telekomunikasi Indonesia","387","Telekomunikasi Indonesia","5678","socks4","4204","1","2023-07-12T06:21:10.849Z","86","2454","2851"
"80.80.152.123","elite","AS12829","BG","Angel Soft OOD","48","N/A","5678","socks4","4414","1","2023-07-12T06:21:05.635Z","99","2841","2860"
"93.171.224.41","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","48","PE TV and Radio Company Kentavr-TV","4153","socks4","5088","1","2023-07-12T06:21:05.650Z","99","2841","2866"
"92.72.191.67","elite","AS3209","DE","ARCOR-IP","19","Arcor AG","8081","socks4","4904","1","2023-07-12T06:21:05.637Z","95","2698","2842"
"36.66.173.145","elite","AS7713","ID","PT. Telekomunikasi Indonesia","191","N/A","45685","socks4","4498","1","2023-07-12T06:21:05.639Z","97","2752","2844"
"45.7.210.199","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","285","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","5003","1","2023-07-12T06:21:05.636Z","99","2795","2818"
"163.53.205.225","elite","AS58898","IN","Rainbow communications India Pvt Ltd","186","Rainbow communications India Pvt Ltd","4153","socks4","4890","1","2023-07-12T06:21:00.538Z","100","2848","2857"
"186.211.6.137","elite","AS53156","BR","PortalSAT Telecom","295","eliziane oliveira sobrinho","4145","socks4","4398","1","2023-07-12T06:21:00.435Z","98","2812","2861"
"190.232.196.205","elite","AS6147","PE","Telefonica Del Peru","188","PE-TDPERX7-LACNIC","5678","socks4","4896","1","2023-07-12T06:21:00.341Z","92","2554","2787"
"181.114.232.57","elite","AS265714","CL","TV CABLE DEL SUR LTDA","236","TV CABLE DEL SUR EIRL","31337","socks4","4717","1","2023-07-12T06:21:00.345Z","99","2808","2846"
"203.23.103.127","elite","AS209242","US","Cloudflare London","84","Umpire Associates LTD","80","socks4","4504","1","2023-07-12T06:21:00.344Z","100","2813","2813"
"36.90.105.11","elite","AS7713","ID","PT. Telekomunikasi Indonesia","201","Telekomunikasi Indonesia","3128","socks4","5100","1","2023-07-12T06:21:00.347Z","98","2793","2840"
"200.93.64.216","elite","AS8048","VE","CANTV Servicios, Venezuela","205","CANTV Servicios, Venezuela","8080","socks4","4608","82","2023-07-12T06:20:55.237Z","25","704","2809"
"185.84.64.101","elite","AS40975","RO","CHML Web Services SRL","45","CHML Web Services SRL","45692","socks4","4318","1","2023-07-12T06:20:55.251Z","100","2831","2840"
"101.71.154.251","elite","AS4837","CN","China Unicom Zhejiang Province Network","292","N/A","1080","socks5","4801","1","2023-07-12T06:20:55.150Z","80","2247","2815"
"222.124.130.195","elite","AS7713","ID","Telekomunikasi Indonesia","205","PT. TELKOM INDONESIA","4145","socks4","4097","1","2023-07-12T06:20:49.944Z","84","2349","2799"
"43.128.62.125","elite","AS132203","HK","Aceville Pte.ltd","241","N/A","23642","socks5","5009","1","2023-07-12T06:20:49.843Z","94","2669","2840"
"150.230.62.147","elite","AS31898","JP","Oracle Corporation","236","Oracle Cloud Infrastructure (ap-osaka-1)","2080","socks5","5189","1","2023-07-12T06:20:49.845Z","63","1790","2848"
"203.76.124.138","elite","AS23688","BD","Link3 Technologies Limited","206","Corporate Subscriber","5678","socks4","5102","1","2023-07-12T06:20:49.849Z","31","886","2834"
"5.161.100.145","elite","AS213230","US","Hetzner Online GmbH","82","HETZNER-DC","1080","socks5","5004","1","2023-07-12T06:20:49.941Z","82","2265","2758"
"62.94.218.90","elite","AS15589","IT","Clouditalia S.p.A.","35","N/A","15589","socks4","2112","1","2023-07-12T06:20:44.733Z","98","2684","2727"
"185.204.197.25","elite","AS60631","IR","Pars Parva System LLC","95","Pars Parva System LLC","8080","socks4","5104","1","2023-07-12T06:20:44.536Z","97","2686","2757"
"45.251.231.113","elite","AS59362","BD","KS Network","200","Nazmul Karim Bhuiyan","5678","socks4","4812","1","2023-07-12T06:20:44.540Z","99","2822","2849"
"104.17.62.87","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4487","1","2023-07-12T06:20:44.538Z","100","2768","2768"
"50.96.204.251","elite","AS7029","US","Windstream Communications LLC","191","Windstream Communications LLC","18351","socks4","4507","1","2023-07-12T06:20:44.537Z","100","2809","2817"
"103.111.56.18","elite","AS9341","ID","PT Indonesia Comnets Plus","189","N/A","4145","socks4","4898","80","2023-07-12T06:20:44.533Z","92","2548","2761"
"123.57.246.163","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","193","Aliyun Computing Co., LTD","8118","socks4","2803","1","2023-07-12T06:20:44.539Z","74","2066","2810"
"36.255.211.1","elite","AS133269","IN","Fiberpipe communications pvt. ltd","138","Fiberpipe communications pvt. ltd.","55438","socks4","5002","1","2023-07-12T06:20:39.035Z","99","2817","2852"
"186.251.255.45","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","205","Seanet Telecom Carazinho Eireli","31337","socks4","1985","1","2023-07-12T06:20:39.034Z","99","2825","2846"
"185.200.38.236","elite","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","97","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti","10820","socks5","517","1","2023-07-12T06:20:39.137Z","88","2523","2860"
"103.240.33.25","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","191","Vihaan","8291","socks4","5119","1","2023-07-12T06:20:39.036Z","98","2804","2847"
"89.237.35.145","elite","AS20485","RU","multi-origin SUTTK","86","N/A","51549","socks4","5011","1","2023-07-12T06:20:39.041Z","99","2823","2839"
"38.127.179.34","elite","AS174","US","Cogent Communications","89","Torlandia Trading SRL","11537","socks5","4595","1","2023-07-12T06:20:39.136Z","100","2798","2801"
"45.79.0.108","elite","AS63949","US","Akamai Technologies, Inc.","190","Linode","1080","socks5","3207","1","2023-07-12T06:20:39.038Z","93","2556","2734"
"165.84.180.22","elite","AS10103","HK","Hong Kong Broadband Network Ltd","293","Hong Kong Broadband Network Ltd","56695","socks4","3896","1","2023-07-12T06:20:33.642Z","99","2785","2811"
"161.97.97.231","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","10050","socks4","4898","1","2023-07-12T06:20:33.644Z","98","2794","2861"
"103.66.233.225","elite","AS134014","IN","NET 4 U SERVICES","123","N/A","4145","socks4","5004","1","2023-07-12T06:20:33.451Z","99","2829","2847"
"212.79.107.116","elite","AS8251","CZ","Neutral czFree eXchange members","27","Heaven - CZFree.Net, spol. s r.o.","5678","socks4","2894","1","2023-07-12T06:20:33.540Z","99","2765","2803"
"132.148.6.255","elite","AS398101","US","GoDaddy.com, LLC","196","GoDaddy.com, LLC","20859","socks5","4795","1","2023-07-12T06:20:33.539Z","98","2789","2839"
"79.132.222.173","elite","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","191","Fanaptelecom Network","5678","socks4","4694","1","2023-07-12T06:20:33.450Z","73","2096","2861"
"212.50.19.150","elite","AS8717","BG","Spectrum NET","36","N/A","4153","socks4","4800","82","2023-07-12T06:20:33.445Z","75","2154","2862"
"178.76.254.130","elite","AS15774","RU","Electro-com Rostov","98","ZAO \"Electro-Com Don\"","4145","socks4","3807","1","2023-07-12T06:20:33.537Z","100","2843","2857"
"176.102.70.102","elite","AS41929","RU","Sistemy Svyazi Llc","63","Sistemy Svyazi Llc","1080","socks5","4196","1","2023-07-12T06:20:28.240Z","99","2839","2858"
"140.250.146.239","elite","AS4134","CN","Chinanet","233","Chinanet SD","1080","socks5","4707","1","2023-07-12T06:20:28.248Z","72","2050","2837"
"197.234.13.14","elite","AS36902","SC","Intelvision","190","Intelvision Ltd","4145","socks4","4702","1","2023-07-12T06:20:28.242Z","100","2822","2833"
"131.100.40.84","elite","AS61754","BR","I3 Telecomunicacoes - EIRELI","207","I3 Telecomunicacoes - EIRELI","5678","socks4","4994","1","2023-07-12T06:20:28.247Z","92","2590","2820"
"161.35.188.95","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","3128","socks4","3904","1","2023-07-12T06:20:28.249Z","100","2822","2829"
"89.162.185.34","elite","AS15895","UA","SOL Network","41","N/A","1080","socks5","4301","1","2023-07-12T06:20:28.243Z","99","2849","2866"
"103.85.103.9","elite","AS135788","IN","Vedant Broadband","199","N/A","5678","socks4","1798","1","2023-07-12T06:20:23.542Z","99","2830","2849"
"47.101.168.190","elite","AS37963","CN","Addresses CNNIC","295","Aliyun Computing Co., LTD","11090","socks5","3714","1","2023-07-12T06:20:23.541Z","74","2068","2798"
"91.187.55.39","elite","AS34093","CZ","Nordic Telecom Regional s.r.o.","33","Kuznik","5678","socks4","4594","1","2023-07-12T06:20:23.532Z","99","2790","2812"
"103.53.63.94","elite","AS24554","IN","Fivenetwork Solution India Pvt Ltd Internet","193","Hi5 Broadband Pvt Ltd","5678","socks4","4607","1","2023-07-12T06:20:23.538Z","99","2776","2803"
"137.184.142.37","elite","AS14061","US","DigitalOcean, LLC","98","DigitalOcean, LLC","443","socks4","1885","2","2023-07-12T06:20:23.539Z","96","2665","2788"
"51.77.73.78","elite","AS16276","DE","OVH SAS","11","Sastre Vazquez Antonio","31979","socks4","4501","1","2023-07-12T06:20:23.636Z","100","2803","2808"
"8.210.69.108","elite","AS45102","HK","Alibaba.com LLC","294","Hong Kong","443","socks5","4599","1","2023-07-12T06:20:23.536Z","99","2785","2809"
"117.102.78.163","elite","AS17451","ID","BIZNET","215","N/A","1080","socks4","5191","1","2023-07-12T06:20:23.449Z","97","2735","2818"
"171.97.107.187","elite","AS17552","TH","True Internet Corporation CO. Ltd.","199","Truenet Hisp","4145","socks4","5191","1","2023-07-12T06:20:18.345Z","53","1469","2798"
"103.51.46.2","elite","AS133819","ID","CIM","291","N/A","4145","socks4","4904","1","2023-07-12T06:20:18.348Z","99","2803","2824"
"201.20.79.18","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A","196","Betânia Lácteos S/A","5678","socks5","4905","1","2023-07-12T06:20:18.349Z","100","2786","2788"
"105.234.156.108","elite","AS37440","MW","Airtel Malawi","236","N/A","4145","socks4","4085","1","2023-07-12T06:20:18.435Z","94","2560","2727"
"51.222.84.118","elite","AS16276","CA","OVH SAS","87","OVH Hosting, Inc.","21777","socks4","3596","1","2023-07-12T06:20:18.447Z","100","2775","2776"
"216.105.130.33","elite","AS20081","US","NET2ATLANTA.COM LLC","104","NET2ATLANTA.COM LLC","39593","socks4","4996","1","2023-07-12T06:20:18.434Z","100","2843","2852"
"208.91.197.18","elite","AS40034","VG","Confluence Networks Inc","75","Confluence Networks Inc","80","socks5","4608","1","2023-07-12T06:20:13.040Z","100","2733","2743"
"139.162.151.176","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode, LLC","9050","socks5","4398","1","2023-07-12T06:20:13.033Z","100","2837","2837"
"69.163.252.140","elite","AS26347","US","New Dream Network, LLC","198","New Dream Network, LLC","10754","socks4","4600","1","2023-07-12T06:20:13.039Z","100","2830","2831"
"103.95.197.233","elite","AS135918","VN","Viet Digital Technology Liability Company","298","DVS","9050","socks5","4996","1","2023-07-12T06:20:13.035Z","97","2682","2775"
"157.230.8.196","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","7497","socks5","4892","1","2023-07-12T06:20:13.135Z","96","2707","2815"
"94.142.142.140","elite","AS209641","RU","I-servers LTD","48","I-servers LTD","3128","socks4","5099","1","2023-07-12T06:20:13.050Z","100","2806","2811"
"180.183.39.207","elite","AS45629","TH","Triple T Broadband Public Company Limited","203","Triple T Broadband Public Company Limited","4153","socks4","4907","1","2023-07-12T06:20:12.950Z","97","2667","2755"
"36.37.104.99","elite","AS4800","ID","LINTASARTA","231","N/A","34040","socks4","4404","1","2023-07-12T06:20:07.850Z","99","2738","2761"
"198.199.109.36","elite","AS14061","US","DigitalOcean, LLC","196","DigitalOcean, LLC","31049","socks5","3402","1","2023-07-12T06:20:07.946Z","100","2754","2755"
"202.124.46.97","elite","AS9902","KH","NeocomISP Limited","171","NeocomISP Limited","4145","socks4","4992","1","2023-07-12T06:20:07.845Z","100","2840","2852"
"94.232.125.200","elite","AS197225","LT","UAB \"Airnet\"","45","UAB \"Airnet\"","5678","socks4","813","81","2023-07-12T06:20:07.848Z","100","2793","2799"
"38.127.173.36","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","46656","socks4","5684","1","2023-07-12T06:20:07.945Z","100","2778","2780"
"168.227.158.61","elite","AS52898","BR","Multipla ServiÔos Inteligentes","278","Multipla Serviços Inteligentes","4145","socks4","4904","1","2023-07-12T06:20:07.844Z","99","2831","2849"
"168.205.218.122","elite","AS264869","BR","SPEED MAX TELECOMUNICAÔÔES LTDA ME","247","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","4911","1","2023-07-12T06:20:07.850Z","83","2262","2731"
"103.51.46.251","elite","AS133819","ID","CIM","220","N/A","4145","socks4","5100","1","2023-07-12T06:20:07.842Z","98","2762","2831"
"193.106.57.7","elite","AS42510","UA","Magic Line","43","PE \"Magic-line\"","33429","socks5","4601","1","2023-07-12T06:20:00.738Z","94","2682","2859"
"103.234.137.97","elite","AS133317","IN","srinagar Net tech P ltd","183","Srinagar Net tech P ltd","5678","socks4","4988","1","2023-07-12T06:20:00.548Z","99","2837","2855"
"198.8.94.174","elite","AS46562","CA","Performive LLC","136","Total Server Solutions L.L.C","39078","socks5","4095","1","2023-07-12T06:20:00.542Z","98","2689","2734"
"203.24.109.130","elite","AS209242","US","Cloudflare London","15","Umpire Associates LTD","80","socks5","4992","1","2023-07-12T06:20:00.543Z","100","2799","2799"
"31.204.28.96","elite","AS209372","US","SIA \"Singularity Telecom\"","92","Popov Andry Vasilievich","5432","socks5","4903","1","2023-07-12T06:20:00.549Z","100","2793","2799"
"150.158.135.201","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","192","Tencent Cloud Computing (Beijing) Co., Ltd","24289","socks5","4811","1","2023-07-12T06:20:00.550Z","61","1728","2821"
"185.140.232.98","elite","AS43395","IR","Pooya Parto Qeshm Cooperative Company","200","Ayandeh","4145","socks4","5010","1","2023-07-12T06:19:55.147Z","91","2582","2829"
"103.89.62.81","elite","AS58972","IN","Bhomika Network PVT LTD","188","Bhomika Network Pvt Ltd","4153","socks4","5093","1","2023-07-12T06:19:55.235Z","99","2830","2853"
"172.67.105.234","elite","AS13335","US","Cloudflare, Inc.","82","Cloudflare, Inc.","80","socks5","3703","1","2023-07-12T06:19:55.149Z","100","2848","2848"
"136.143.144.187","elite","AS13370","US","LocalTel Communications","195","LocalTel Communications","5678","socks4","4884","1","2023-07-12T06:19:55.237Z","99","2730","2744"
"103.47.93.234","elite","AS134058","IN","Broban Internet Services Pvt.ltd","186","Broban  PVT Ltd.","1080","socks4","4915","82","2023-07-12T06:19:55.151Z","99","2793","2816"
"14.248.94.123","elite","AS45899","VN","VNPT","290","Vietnam Posts and Telecommunications Group","5678","socks4","4502","1","2023-07-12T06:19:55.240Z","91","2535","2800"
"185.6.10.191","elite","AS12552","SE","GlobalConnect AB","32","Internet Vikings International AB","19427","socks4","4389","1","2023-07-12T06:19:55.336Z","100","2806","2807"
"36.37.71.83","elite","AS4800","ID","LINTASARTA","220","N/A","5430","socks4","5107","1","2023-07-12T06:19:50.036Z","96","2735","2845"
"144.48.178.62","elite","AS134254","IN","Shah Infinite Solutions Pvt. Ltd.","124","Rute","83","socks4","995","1","2023-07-12T06:19:49.951Z","99","2840","2855"
"193.169.4.184","elite","AS49261","RU","Lekstar Communication Ltd","49","SVS-Telecom Ltd","10801","socks5","4692","1","2023-07-12T06:19:49.950Z","99","2820","2860"
"112.194.89.99","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","288","N/A","44313","socks5","4810","1","2023-07-12T06:19:49.947Z","58","1641","2819"
"185.162.228.154","elite","AS209242","GB","Cloudflare London, LLC","14","Softconstruct Limited","80","socks5","4901","2","2023-07-12T06:19:44.839Z","100","2810","2811"
"159.223.173.237","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","12057","socks5","4607","1","2023-07-12T06:19:44.837Z","81","2246","2772"
"68.183.25.78","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","23017","socks5","4304","1","2023-07-12T06:19:44.838Z","100","2747","2753"
"185.233.202.110","elite","AS200740","NL","First Server Limited","10","Firstbyte Hosting","8088","socks4","4695","1","2023-07-12T06:19:44.836Z","99","2764","2797"
"188.165.209.167","elite","AS16276","FR","OVH SAS","5","OVH ISP","7497","socks5","4799","1","2023-07-12T06:19:39.143Z","100","2795","2803"
"104.16.213.202","elite","AS13335","US","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","3687","1","2023-07-12T06:19:39.133Z","100","2755","2755"
"89.186.1.169","elite","AS39716","PL","Artur Sienkiewicz","34","VIP","5678","socks4","4794","1","2023-07-12T06:19:39.144Z","96","2685","2791"
"142.93.6.218","elite","AS14061","US","DigitalOcean, LLC","98","Digital Ocean","80","socks4","5096","1","2023-07-12T06:19:33.639Z","100","2822","2834"
"185.173.106.113","elite","AS59441","IR","Hostiran Network","94","N/A","8080","socks5","5094","1","2023-07-12T06:19:33.838Z","88","2427","2744"
"202.4.107.69","elite","AS23956","BD","dhakaCom Limited","177","DhakaCom Limited","5678","socks4","4001","1","2023-07-12T06:19:33.735Z","98","2796","2858"
"149.20.253.103","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","4999","1","2023-07-12T06:19:33.935Z","100","2826","2828"
"188.112.39.231","elite","AS42739","PL","Hawe Telekom S.A. in Restructuring","34","Hawe","5678","socks4","4903","86","2023-07-12T06:19:33.936Z","99","2774","2809"
"62.109.31.192","elite","AS29182","RU","Cjsc the First","47","TheFirst","20000","socks5","35","1","2023-07-12T06:19:33.734Z","100","40","40"
"168.227.158.29","elite","AS52898","BR","Multipla ServiÔos Inteligentes","204","Multipla Serviços Inteligentes","4145","socks4","5199","1","2023-07-12T06:19:33.737Z","95","2715","2851"
"51.255.219.244","elite","AS16276","FR","OVH SAS","6","berdin stephane","7497","socks5","4897","1","2023-07-12T06:19:28.642Z","100","2823","2823"
"188.255.245.177","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","94","Orion Telekom Tim d.o.o.Beograd","1080","socks4","5089","1","2023-07-12T06:19:28.540Z","100","2867","2868"
"123.145.4.15","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","284","N/A","53309","socks5","3896","1","2023-07-12T06:19:28.542Z","50","1405","2836"
"122.129.107.54","elite","AS38896","ID","Cergis","195","N/A","5678","socks5","3794","1","2023-07-12T06:19:28.544Z","99","2787","2815"
"94.228.253.51","elite","AS15672","RU","TZ-Telecom Address","98","JSC TZ-Telecom","4145","socks4","5004","1","2023-07-12T06:19:28.546Z","100","2731","2732"
"2.135.223.134","elite","AS9198","KZ","JSC Kazakhtelecom","106","Legion","5678","socks4","2297","1","2023-07-12T06:19:23.548Z","94","2632","2794"
"185.32.44.157","elite","AS200154","AZ","Izone LLC","85","Izone LLC","4153","socks4","5005","1","2023-07-12T06:19:23.547Z","100","2822","2829"
"202.165.47.49","elite","AS17538","ID","Circlecom","181","N/A","5678","socks4","4393","1","2023-07-12T06:19:23.550Z","99","2770","2790"
"202.124.43.250","elite","AS9902","KH","NeocomISP Limited","171","NeocomISP Limited","4145","socks4","2709","1","2023-07-12T06:19:23.634Z","100","2844","2853"
"183.89.41.115","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","5678","socks4","5096","1","2023-07-12T06:19:23.549Z","99","2789","2811"
"173.236.182.83","elite","AS26347","US","New Dream Network, LLC","93","New Dream Network, LLC","12873","socks5","4994","1","2023-07-12T06:19:23.636Z","100","2848","2852"
"62.171.135.216","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","50037","socks5","4409","1","2023-07-12T06:19:23.637Z","100","2731","2738"
"118.67.170.121","elite","AS4766","KR","Netropy CO.","232","NURILINK","4153","socks4","4309","1","2023-07-12T06:19:18.746Z","99","2847","2865"
"110.34.166.181","elite","AS45652","SG","Krypt Technologies","245","Vpls Sin1","4153","socks4","3203","83","2023-07-12T06:19:18.738Z","99","2826","2842"
"79.79.18.76","elite","AS9105","GB","TalkTalk","96","TalkTalk Communications Limited","5678","socks4","4710","1","2023-07-12T06:19:18.747Z","100","2773","2781"
"103.85.67.114","elite","AS131111","ID","MORATELINDO","194","Moratelindo","4145","socks4","98","1","2023-07-12T06:19:18.740Z","99","2703","2741"
